2024-11-25 14:11:55 INFO  [main] Newtours:26 - Launching the browser...
2024-11-25 14:12:04 INFO  [main] Newtours:30 - Edge browser launched successfully and LoginPage object created.
2024-11-25 14:12:04 INFO  [main] Newtours:38 - Opening URL: https://demo.guru99.com/test/newtours/
2024-11-25 14:12:09 INFO  [main] Newtours:42 - URL opened and browser window maximized.
2024-11-25 14:12:09 INFO  [main] Newtours:107 - Clicking on the Register link...
2024-11-25 14:12:10 INFO  [main] Newtours:110 - Register link clicked.
2024-11-25 14:12:10 INFO  [main] Newtours:50 - Validating the page title...
2024-11-25 14:12:10 INFO  [main] Newtours:58 - Page title verified successfully: Register: Mercury Tours
2024-11-25 14:12:10 INFO  [main] Newtours:117 - Entering customer registration details...
2024-11-25 14:12:11 INFO  [main] Newtours:125 - Generated random email: qmBuH@gmail.com
2024-11-25 14:12:12 INFO  [main] Newtours:137 - Customer registration details entered successfully.
2024-11-25 14:12:12 INFO  [main] Newtours:144 - Clicking on the Submit button for registration...
2024-11-25 14:12:14 INFO  [main] Newtours:146 - Submit button clicked for registration.
2024-11-25 14:12:14 INFO  [main] Newtours:153 - Validating the confirmation message...
2024-11-25 14:12:14 INFO  [main] Newtours:155 - Confirmation message validated successfully: sign-in
2024-11-25 14:12:14 INFO  [main] Newtours:67 - Closing the browser...
2024-11-25 14:12:15 INFO  [main] Newtours:69 - Browser closed successfully.
2024-11-25 14:40:43 INFO  [main] Newtours:50 - Launching Edge browser...
2024-11-25 14:40:51 INFO  [main] Newtours:72 - Edge browser launched successfully and LoginPage object created.
2024-11-25 14:40:51 INFO  [main] Newtours:80 - Opening URL: https://demo.guru99.com/test/newtours/
2024-11-25 14:40:56 INFO  [main] Newtours:84 - URL opened and browser window maximized.
2024-11-25 14:40:56 INFO  [main] Newtours:149 - Clicking on the Register link...
2024-11-25 14:40:56 INFO  [main] Newtours:152 - Register link clicked.
2024-11-25 14:40:56 INFO  [main] Newtours:92 - Validating the page title...
2024-11-25 14:40:57 INFO  [main] Newtours:100 - Page title verified successfully: Register: Mercury Tours
2024-11-25 14:40:57 INFO  [main] Newtours:159 - Entering customer registration details...
2024-11-25 14:40:57 INFO  [main] Newtours:167 - Generated random email: RtisV@gmail.com
2024-11-25 14:40:58 INFO  [main] Newtours:179 - Customer registration details entered successfully.
2024-11-25 14:40:58 INFO  [main] Newtours:186 - Clicking on the Submit button for registration...
2024-11-25 14:41:00 INFO  [main] Newtours:188 - Submit button clicked for registration.
2024-11-25 14:41:00 INFO  [main] Newtours:195 - Validating the confirmation message...
2024-11-25 14:41:00 INFO  [main] Newtours:197 - Confirmation message validated successfully: sign-in
2024-11-25 14:41:00 INFO  [main] Newtours:109 - Closing the browser...
2024-11-25 14:41:01 INFO  [main] Newtours:111 - Browser closed successfully.
2024-11-25 14:41:28 INFO  [main] Newtours:57 - Launching Firefox browser...
2024-11-25 14:41:40 INFO  [main] Newtours:72 - Edge browser launched successfully and LoginPage object created.
2024-11-25 14:41:40 INFO  [main] Newtours:80 - Opening URL: https://demo.guru99.com/test/newtours/
2024-11-25 14:41:44 INFO  [main] Newtours:84 - URL opened and browser window maximized.
2024-11-25 14:41:44 INFO  [main] Newtours:149 - Clicking on the Register link...
2024-11-25 14:41:45 INFO  [main] Newtours:152 - Register link clicked.
2024-11-25 14:41:45 INFO  [main] Newtours:92 - Validating the page title...
2024-11-25 14:41:45 INFO  [main] Newtours:100 - Page title verified successfully: Register: Mercury Tours
2024-11-25 14:41:45 INFO  [main] Newtours:159 - Entering customer registration details...
2024-11-25 14:41:46 INFO  [main] Newtours:167 - Generated random email: RRNij@gmail.com
2024-11-25 14:41:47 INFO  [main] Newtours:179 - Customer registration details entered successfully.
2024-11-25 14:41:47 INFO  [main] Newtours:186 - Clicking on the Submit button for registration...
2024-11-25 14:41:49 INFO  [main] Newtours:188 - Submit button clicked for registration.
2024-11-25 14:41:49 INFO  [main] Newtours:195 - Validating the confirmation message...
2024-11-25 14:41:49 INFO  [main] Newtours:197 - Confirmation message validated successfully: sign-in
2024-11-25 14:41:49 INFO  [main] Newtours:109 - Closing the browser...
2024-11-25 14:41:51 INFO  [main] Newtours:111 - Browser closed successfully.
